module,problem_pattern,problem_desc,root_cause,solution,tags,severity
天气预警,时空误差,同事都收到台风预警我没收到,App后台被系统杀死无法收到Push,提供保活引导或短信备份通道,预警理解,high
天气预警,认知偏差,大晴天收到大风蓝色预警,冷空气前沿大风与晴好天气可同时出现,在预警卡片增加简明气象科普说明,预警理解,low
天气预警,认知偏差,艳阳天挂高温橙色预警说我中暑风险高,用户只看图标未注意高温预警标识,优化预警信息在主界面的视觉突出度,预警理解,low
天气预警,认知偏差,晴天发布霜冻预警不理解,辐射降温导致地面温度低于气温属常见现象,预警卡片增加通俗解释和防御建议,预警理解,low
空气质量,认知偏差,今天灰蒙蒙天不是雾霾吗,湿度大于90%是雾不是霾但用户混淆,增加天气现象区分标识+科普弹窗,雾和霾,medium
空气质量,认知偏差,AQI显示轻度污染外面却看不清楚,PM2.5浓度高不一定伴随低能见度,能见度和AQI分开展示并增加解释,雾霾,medium
空气质量,认知偏差,空气质量指数昨晚突然飙升,夜间逆温层导致污染物累积属正常现象,污染趋势图标注逆温时段供用户理解,雾霾,medium
生活指数,认知偏差,阴天为啥紫外线还是强,云层对紫外线阻挡有限用户有误解,增加云量-紫外线穿透率科普说明,紫外线,low
生活指数,认知偏差,冬天紫外线指数为啥也高,积雪反射紫外线增强地面辐照度,紫外线指数考虑下垫面积雪因子,紫外线,low
逐天预报,数据偏差,日照时间显示不对,日出日落算法未考虑地形遮挡,引入数字高程模型修正日照时间,日出日落,low
逐天预报,数据偏差,天黑时间比预报晚了快半小时,高纬度地区折射角参数偏小,根据纬度动态调整大气折射修正量,日出日落,low
定位,认知偏差,我家在A区为啥总显示B区的天气,基站定位精度不够偏移到邻区,引导切换GPS精确定位或在设置中手动选区域,定位,medium
定位,时空误差,出差到外地还在看老家的天气,未开启自动刷新定位,增加地理位置变化检测自动切换城市,定位,medium
生活指数,数据偏差,洗车指数说不宜洗车但一周都没下雨,洗车指数过于保守,根据用户反馈动态调整指数阈值,生活指数,low
生活指数,数据偏差,钓鱼指数良好结果空军了,气压/水温数据更新滞后,接入实时水文传感器提升钓鱼指数准确率,生活指数,low
生活指数,数据偏差,晨练指数推荐跑步结果外面大风,晨练指数只考虑温度和降水未引入风力,晨练指数综合模型加入风力权重,生活指数,low
生活指数,数据偏差,穿衣推荐说薄外套冻死我了,穿衣推荐基于平均气温未考虑风寒效应,穿衣指数引入风寒等效温度,穿衣,low
生活指数,数据偏差,花粉浓度显示低但我过敏犯了,花粉种类差异大只报总浓度不够,增加主要致敏花粉种类细分浓度,花粉,low
生活指数,数据偏差,花粉季节已经过了还报高风险,花粉日历未根据当年物候动态更新,接入物候观测数据动态调整花粉日历,花粉,low
实况,时空误差,显示有雷电但我这没看到,雷电监测站间距大遗漏局地闪电,增加闪电定位仪密度或引入卫星闪电探测,雷电,medium
潮汐海浪,数据偏差,去海边看报的浪高不对差点出事,近岸浪高受海底地形影响模式分辨率不足,接入近岸浮标实测数据进行实时订正,浪高,high
实况,数据偏差,高速封路了App上能见度还正常,高速公路能见度与城区差异大,增加交通气象能见度专用产品,能见度,high
短临降水,认知偏差,雷达图显示有雨移过来结果没下,雷达回波较高层面实际降水未落地,雷达图增加垂直剖面判断降水是否落地,雷达解读,medium
格点可视化,体验缺陷,雷达图卡得不行半天不刷新,单张雷达图数据量大弱网加载慢,雷达图采用渐进式加载+矢量瓦片压缩,雷达解读,medium
App体验,体验缺陷,看15天预报的时候闪退了,15天数据量大内存未释放导致OOM,预报列表改为虚拟滚动分页加载,闪退,high
App体验,体验缺陷,一开雷达图就闪退,老旧机型GPU渲染雷达图图层溢出,根据机型动态降级渲染策略减少图层数,雷达解读,high
App体验,体验缺陷,后台耗电太厉害一上午掉了30%,后台持续定位刷新频率过高,智能调整后台定位策略用围栏触发代替轮询,耗电,medium
App体验,体验缺陷,Nightly版本比上个版本耗电翻倍,新版本引入的天气动画未做帧率控制,动画帧率上限锁定30fps+静止时停止,耗电,medium
App体验,体验缺陷,桌面小组件天气一直不更新,系统限制了小组件刷新频率,iOS按系统预算申请刷新Windows用后台任务,Widget,low
App体验,体验缺陷,小组件显示的城市和我选的不一样,Widget数据源与主App数据源不同步,统一数据缓存层保证Widget与App一致,Widget,low
App体验,体验缺陷,一天弹十几条天气提醒太烦了,推送频率设置为默认全开,引导用户自定义推送频次和免打扰时段,通知,medium
App体验,体验缺陷,雷电结束半天了才发解除通知,解除类型推送优先级低被业务队列阻塞,所有类型推送同优先级不区分时效性,通知,medium
App体验,体验缺陷,加了5个城市切回去顺序乱了,未保存用户自定义排序,城市列表增加拖拽排序并云同步,多城市,low
App体验,体验缺陷,出国玩添加的城市天气数据加载不出来,海外城市数据源未接入或鉴权失败,排查海外数据源接口增加自动重试,多城市,low
App体验,体验缺陷,播报说今天有雨出门一看大太阳,语音播报读取的是昨天缓存的旧数据,播报前校验数据时间戳过期则重新拉取,语音播报,low
App体验,认知偏差,老年人模式播报语速太快听不懂,未针对老年用户做语速适配,老年模式默认降速并增加重播按钮,语音播报,low
App体验,体验缺陷,节气显示错了立秋写成处暑,农历节气计算库使用了过时的平气法,改用天文算法定气法重新计算节气时刻,农历,low
App体验,体验缺陷,宜忌和别家App对不上,宜忌来源于不同黄历流派无统一标准,标注黄历来源并说明仅供娱乐参考,农历,low
航空专业气象,数据偏差,航班因雷雨延误但App显示天气正常,终端区天气与航路天气差异大用户只看出发地,航空天气增加终端区和航路天气叠加展示,航空,high
航空专业气象,数据偏差,机场天气正常但航班取消了说航路有冰雹,用户无法获取航路天气信息导致信息不对等,增加航路剖面天气展示包括对流顶高和冰雹风险区,航空,high
航空专业气象,数据偏差,机场METAR报文和App显示的风向差了30度,App使用网格预报风向未使用机场实测METAR数据,机场天气页优先展示METAR/SPECI报文实时数据,航空,high
航空专业气象,数据偏差,飞机颠簸中度实际飞到那剧烈颠簸,颠簸预报基于全球模式垂直分辨率不够,引入高分辨率中尺度模式结合AMDAR飞机报进行颠簸诊断,航空,high
航空专业气象,数据偏差,飞行员反映高空风预报与实际差了20节,全球模式高空急流轴位置偏移导致风速偏差,同化更多探空和风廓线雷达资料约束急流轴,航空,high
航空专业气象,时空误差,低空风切变没报出来差点复飞,机场低空风切变依赖单雷达反演易漏,增加激光测风雷达组网和多普勒雷达径向速度三维合成,航空,high
航空专业气象,数据偏差,机场大雾预报说9点散实际11点才散,辐射雾消散时间预报依赖日出后升温速率参数化偏差大,引入机场能见度观测进行卡尔曼滤波实时订正消散趋势,航空,high
航空专业气象,时空误差,跑道积冰预报漏了造成备降,跑道温度预报基于气温简化推算未考虑道面材质和地温,增加跑道道面温度传感器组网和跑道积冰模型,航空,high
航空专业气象,数据偏差,无人机飞行看风速OK飞到一半失控炸机,高空风速与地面风速差异大且低空急流未被预报,无人机航线风速产品增加50/100/150m分层风场预报,航空,high
航空专业气象,数据偏差,热气球飞行看天气晴朗结果逆温层导致无法升空,未提供边界层探空廓线和逆温层高度信息,增加边界层温度和风垂直廓线展示,航空,high
航空专业气象,数据偏差,直升机海上平台起降看气象正常遇突发低云,海上低云生消快10分钟就从好天气变不能飞,引入高频卫星云图和平台视频AI云量识别进行分钟级监控,航空,high
航空专业气象,数据偏差,通航飞机目视飞行天气报的能见度10公里实际3公里,霾/轻雾条件下能见度模式误差大且时空变化剧烈,接入沿途交通气象站能见度实况做动态航线能见度预报,航空,high
天气预警,数据偏差,机场雷电预警解除慢飞机在地面白等半小时,雷电全停判断时效性要求高但解除流程保守,雷电预警解除引入电场仪数据实现分钟级全停判断,预警理解,high
航空专业气象,数据偏差,滑行道积水和跑道刹车效应预报不准,机场排水模型未与降雨预报耦合无法预判积水,机场积水预报耦合降雨预报+排水能力模型实现跑道状态预判,航空,high
航空专业气象,时效延迟,空管气象席位切换预报源后进近管制区风场不一致,不同数值模式输出的边界层风在切换时出现跳变,模式输出风场做时间一致性约束和空间平滑过渡,航空,high
航空专业气象,数据偏差,飞行员说积冰区域预报范围太大没法绕飞,积冰区为安全起见扩大范围导致可用空域减少,积冰概率预报呈概率分级替代确定性大面积预警,航空,high
台风预报,时空误差,台风登陆点预报偏了50公里导致A市没准备B市过度准备,台风路径集合预报离散度大未向决策者传递不确定性,台风路径产品增设集合预报概率椭圆和影响概率图,灾害应急,high
天气预警,时空误差,上次特大暴雨死亡人数多因为预警发晚了,极端暴雨触发阈值过于保守导致预警滞后,将极端暴雨预警阈值从基于气候态改为基于影响(最大可能降水量),预警理解,high
天气预警,时空误差,山洪爆发前流域雨量站显示不大结果上游下特大,流域内雨量站稀疏未能监测到山洪沟上游强降水,山洪沟上游加密雨量站+雷达QPE填补无站区,灾害应急,high
天气预警,时空误差,泥石流预警发了但村民说没收到,预警信息发布渠道单一只发了App未启用短信/广播,预警发布对接应急广播体系+基站小区短信,预警理解,high
天气预警,时空误差,去年龙卷风凌晨来袭全城在睡觉无预警,夜间龙卷风监测依赖人工盯屏雷达值班力量不足,龙卷风识别引入AI自动判识+强制夜间唤醒推送机制,预警理解,high
天气预警,时空误差,城市内涝抽水站按预案启动但降雨量远超预案上限,内涝排水调度依赖固定预案未与实时降雨预报联动,建立内涝排水动态调度系统实时接入分钟级降雨预报,灾害应急,high
天气预警,时空误差,森林火灾蔓延方向与火险预报差90度导致扑救方向错误,火险预报分辨率为1公里无法分辨山谷风对火线的影响,引入10米分辨率风场模拟山谷地形对火线走向的精细化预报,灾害应急,high
天气预警,时空误差,水库泄洪提前4小时预报入库流量偏小导致泄洪不够,入库洪水预报基于降雨预报而降雨落区偏差大,泄洪决策采用多个数值模式降雨预报进行集合入库洪水模拟,灾害应急,high
台风预报,时空误差,台风过后农业损失惨重因为只报了风速没报持续时间,农业风灾损失与强风持续时间高度相关,台风农业风险评估增加强风持续时间和阵风能量积分产品,灾害应急,high
天气预警,时空误差,去年寒潮过程交通瘫痪高速封闭与预报时间差将近6小时,雨雪相态转变(雨转雪/冻雨)时间偏差大路面结冰速度快,冻雨和路面结冰预报采用路面温度模式+雨雪相态集合预报,灾害应急,high
天气预警,认知偏差,滑坡预警发了但镇里说没接到通知不知道具体在哪,地质灾害气象预警空间尺度太粗只到区县级,引入高精度坡度+岩性+降水叠加分析实现村屯级地质灾害预警,预警理解,high
天气预警,时空误差,特大暴雪过程积雪深度预报30cm实际超1米,雪水比动态变化大用固定10:1折算积雪深度偏差巨大,积雪深度预报采用逐小时动态雪水比+雪密度演变模型,灾害应急,high
天气预警,时空误差,去年夏季高温热浪已发5天预警但医院急诊依然爆仓,预警提前量够了但公众防护指引缺少分层(老人/户外工种),热浪健康风险产品增加分层人群风险提示和具体降温建议,预警理解,high
天气预警,时空误差,电厂冷却塔因温度预报偏低出力不足导致限电,电力负荷预测依赖的气温预报系统性偏低在持续高温下偏差更大,电力气象增加高温过程持续性评估和历史相似过程对比,灾害应急,high
台风预报,时空误差,海上台风预报最大风速与石油平台实测差25节,台风强度预报对海洋热含量和垂直风切变响应敏感度不够,台风强度预报引入海气耦合模式替代纯大气模式,灾害应急,high
天气预警,时空误差,冰雹砸毁大片果蔬大棚保险公司赔付困难因为缺客观天气证据,冰雹过程缺乏高分辨率客观记录用于定损,建设冰雹AI识别组网+格点化雹径反演为农业保险提供定损依据,灾害应急,high
天气预警,时空误差,城市大风掀翻广告牌砸伤行人无预警,城市建筑群狭管效应产生局地强风超出模式预报能力,城市大风预警引入建筑形态+风洞模拟生成狭管风风险地图,预警理解,high
天气预警,时空误差,历史罕见暴雨后防汛部门要求做复盘没有可比的同量级历史个例,历史暴雨个例库未按影响程度和天气形势做结构化标签,建立暴雨个例数据库结构化标签(环流型/雨强/落区/影响)支持相似检索,灾害应急,high
天气预警,时空误差,大伙房水库根据面雨量预报调度与实际面雨量差40%,流域面雨量预报仅取格点算术平均未考虑地形增雨效应,流域面雨量计算引入地形降水订正函数,灾害应急,high
天气预警,认知偏差,上级询问上次红色预警为啥发了但实际灾情不重,预警命中率偏低导致过度预警脱离实际,引入基于影响等级的预警验证回溯机制优化预警阈值,预警理解,high
空气质量,数据偏差,AQI显示良但我家开窗闻到明显化工异味,单一AQI综合指数掩盖了单污染物(如VOCs/H2S)超标,空气质量页增加6项分污染物实时浓度和异味投诉入口,空气质量,high
空气质量,数据偏差,臭氧污染大晴天App却显示空气优良,臭氧污染无色无味用户无法感知且AQI计算权重掩盖臭氧峰值,臭氧污染增加逐小时浓度曲线+敏感人群(哮喘/儿童)专属提醒,空气质量,high
空气质量,数据偏差,沙尘暴过境PM10爆表App还报轻度污染,AQI计算标准对粗颗粒物(PM10)权重偏低导致沙尘天低估,沙尘天气切换至PM10主导的AQI计算并标注沙尘来源和轨迹,空气质量,high
空气质量,数据偏差,室内开空气净化器看外面AQI好就关窗结果还是咳嗽,室外AQI不代表室内且室内污染源(甲醛/烹饪油烟)被忽略,增加室内空气质量预估模型对接智能家居传感器,空气质量,high
空气质量,数据偏差,AQI监测站离家3公里数据不能代表我家楼下,国控站点稀疏城市微环境空气质量差异大,引入微型站组网+卫星气溶胶反演实现1公里网格化AQI,空气质量,high
空气质量,数据偏差,秋天秸秆焚烧期间AQI飙升但App没任何提示,秸秆焚烧属于突发面源排放未纳入常规空气质量预报链,秸秆焚烧季接入卫星火点监测+后向轨迹模型预报烟羽走向,空气质量,high
空气质量,数据偏差,装修完看App空气良就搬进去结果甲醛中毒,空气质量指数不包含室内装修污染物(甲醛/TVOC/氡),空气质量页增加装修污染科普和甲醛检测仪联动功能,空气质量,high
空气质量,认知偏差,冬季燃煤取暖PM2.5爆表说是静稳天气啥意思,公众不理解静稳天气与污染累积的气象机制,污染天气增加气象条件解释动画(逆温层/混合层高度/风速),空气质量,high
空气质量,数据偏差,同一时间两个天气App的AQI差了一倍该信谁,AQI数据源不同(实时发布/预报/模式推算)且计算方法差异大,标注AQI数据源类型(实测/预报/推算)和发布时间便于用户甄别,空气质量,high
空气质量,认知偏差,早晨能见度50米App写的是雾我怀疑是霾,雾和霾在临界湿度(80%-95%)时难以自动判识容易混淆,雾霾判识增加气溶胶光学厚度AOD和水溶性离子辅助区分,雾霾,medium
空气质量,认知偏差,重度霾持续三天了App没给任何健康防护建议,雾霾产品只展示浓度不提供暴露风险评估和防护指导,雾霾天气自动触发分人群(老人儿童孕妇)防护建议和口罩N95推荐,雾霾,medium
空气质量,认知偏差,霾散了但天空还是灰蒙蒙的App已显示优,霾消散后残留细粒子(PM1)和散射作用导致能见度恢复慢于浓度下降,霾消散过程增加能见度恢复时间预估和残余粒子提示,雾和霾,medium
空气质量,时效延迟,春节烟花燃放AQI从50飙升到500只用了2小时,烟花爆竹污染突发性强常规小时级更新频率跟不上,春节期间启用10分钟级AQI更新+烟花爆竹污染专项推送,雾霾,medium
空气质量,认知偏差,华北雾霾严重往南看黄山App显示又是霾,区域输送型雾霾被误判为局地污染缺乏输送路径展示,增加雾霾后向轨迹动画展示污染物从哪来+传输贡献率,雾和霾,medium
空气质量,认知偏差,能见度3公里AQI却只有轻度污染不理解,消光系数与气溶胶化学组成有关高湿下硫酸盐消光效率飙升,污染页增加消光系数拆解(散射/吸收/湿度放大因子),雾霾,medium
空气质量,认知偏差,骑车通勤看App轻度污染没戴口罩回来嗓子疼,轻度污染定义对高呼吸速率运动场景不适用,运动/骑行场景增加分钟级呼吸摄入量预估和污染暴露风险,雾霾,medium
空气质量,认知偏差,灰蒙蒙天气持续一周不知道什么时候能吹散,缺乏污染清除时间预报(冷空气到达时间/清除效率),雾霾页增加污染消散时间预报+冷空气前锋动态图,雾和霾,medium
空气质量,认知偏差,沙尘和雾霾混在一起app只报了霾没说沙尘,沙尘与霾混合污染过程未区分导致成因和防护不同,混合污染天气分污染物层析展示(沙尘PM10层/工业PM2.5层),雾和霾,medium
实况,数据偏差,南方35度湿度75%无风体感像42度App只报35,高温高湿环境下体感温度计算仅用简化热指数未考虑风速焓值,体感温度模型升级为湿球黑球温度WBGT+暑热压力指数HSI,体感温度,high
实况,数据偏差,白天38度晚上还30度根本睡不着App没任何提示,连续高温且夜间温度不低于28度属于致命热浪需特别关注,增加热浪健康风险等级(基于昼夜温度阈值+持续天数+最低温),闷热,high
实况,数据偏差,App说今天适合跑步结果闷热跑两步差点中暑,运动指数未将湿热环境(高温+高湿+低风)判定为高风险,运动指数增加WBGT热应力分级禁止高风险时段户外剧烈运动,体感温度,high
实况,认知偏差,同样的35度为啥7月比6月难熬那么多,海温升高后近地面比湿增大导致相同气温下体感差异可达5-8度,体感温度计算引入露点温度趋势项反映湿度累积效应,体感温度,high
实况,数据偏差,桑拿天39度报成38度实际体感根本不止,自动站百叶箱温度不代表城市热岛核心区实际温度,闷热天气增加城市热岛订正温度和街谷体感温度产品,体感温度,high
实况,认知偏差,为啥报的湿度75%实际感觉更湿像90%,相对湿度与气温负相关午后气温最高时湿度最低但体感最闷,闷热指数改为基于露点温度/绝对湿度而非相对湿度,闷热,high
实况,数据偏差,说好的下午有雷雨降温结果没下闷热持续,弱对流触发条件不足导致期待的降温未实现用户失望,闷热天气降温窗口预报增加对流触发概率(30%/50%/70%)而非确定性,体感温度,high
实况,数据偏差,梅雨季衣服晾不干App还报适宜晾晒,晾晒指数仅考虑有雨无雨未考虑相对湿度和蒸发速率,晾晒指数引入蒸发速率计算(温度+湿度+风速+太阳辐射),闷热,high
实况,数据偏差,开了除湿模式空调App推荐温度26度太低费电,空调指数仅基于温度推荐未结合湿度给出除湿优先策略,空调建议增加除湿优先模式判断(温度OK但湿度>70%时推荐除湿替代制冷),闷热,high
实况,数据偏差,南方人来看App说湿热北方人看说干热同一套描述,湿热vs干热对健康影响/防护策略/体感完全不同,热类型自动判识(露点温度>24度为湿热)并差异化推送防暑建议,体感温度,high
实况,数据偏差,Aapp显示25度但我家在半山腰感觉只有18度,气温预报统一使用城镇格点未提供不同海拔高度的温度订正,增加任意海拔高度温度查询功能基于标准大气递减率+局地订正,海拔,medium
实况,数据偏差,爬泰山山脚32度山顶才18度App全程只报山脚,景区天气预报仅发布游客中心所在海拔未提供不同高度预报,山岳景区增加垂直剖面温度预报(每上升500m一个温度点),海拔,medium
实况,数据偏差,去云南旅游App显示22度舒服到了高原喘不过气,高原低氧环境未做提示用户只知道温度不知道含氧量,高原旅游目的地增加海拔+含氧量+紫外线+温差综合提示,海拔,medium
实况,数据偏差,我家在秦岭以南App还按北方供暖标准建议穿衣,穿衣推荐只基于气温未结合秦岭以南无供暖的湿冷特性,穿衣推荐增加有无供暖+室内外温差+湿冷渗透因子,海拔,medium
实况,数据偏差,同一天同一座山南坡25度北坡还有积雪,坡向辐射差异(阳坡/阴坡)导致微气候温差预报未体现,山地区域预报增加坡向辐射订正(南坡+3-5度北坡-2-3度),海拔,medium
实况,数据偏差,海拔2000米晒伤App紫外线指数报的和海边一样,高原大气稀薄紫外线衰减少且下垫面积雪反射增强UV,紫外线算法增加海拔订正因子(每升高1000米UV增10-12%),海拔,medium
实况,数据偏差,峡谷风好大预报说2级实际刮了6级,峡谷狭管效应导致风速放大2-3倍但模式地形分辨率无法解析,峡谷/垭口风场预报引入高分辨率CFD地形风场诊断,海拔,medium
实况,数据偏差,郊区住着比市区冷5度App两个地方报一个温度,城市热岛效应导致城区/郊区温差可达5-8度尤其夜间,同一城市区分城区/郊区/山区温度区域化精细预报,海拔,medium
实况,数据偏差,去川西自驾App一路都报25度到折多山突然下雪,高原天气系统(高原切变线/低涡)尺度小预报未捕捉,高原公路沿线逐10公里天气推送对接交通气象站网,海拔,medium
空气质量,数据偏差,张家界看日出报的晴天到山顶云里雾里,山岳云雾(上坡雾)形成机制与平地差异大且海拔触发阈值明确,山岳景区云雾预报增加抬升凝结高度LCL和云底高度产品,海拔,medium
实况,认知偏差,南方35度湿热为啥比北方38度干热更难受,公众不了解蒸发冷却原理高温高湿时汗液蒸发受阻散热效率骤降,炎热天气增加人体热平衡科普(蒸发/辐射/对流三种散热途径),体感温度,low
实况,认知偏差,梅雨季为啥天天报有雨有时下有时不下,副高边缘水汽输送+低层切变线触发降水落区随机性强,梅雨预报增加降雨覆盖概率和不确定性说明,气象原理,low
实况,认知偏差,天气预报说副高控制是什么意思跟高温啥关系,公众缺乏副热带高压/冷涡/切变线等基础天气学概念,天气详情页增加通俗天气学知识卡片和名词解释,天气系统,low
实况,认知偏差,下雨前为啥特别闷热天还是亮的,降水前近地面湿度增大+气压下降+对流抑制能量积累导致闷热感,雨前闷热增加科学解释卡片(湿度/气压/对流能量三要素),体感温度,low
实况,认知偏差,锋面降雨和对流降雨有啥区别为啥一个准一个不准,不同降雨机制的预报可预报性差异(锋面可预报72h对流仅2-6h),降雨类型标注(锋面/对流/地形/台风)并注明可预报时效差异,预警理解,low
实况,认知偏差,体感温度到底咋算的为啥和实际温度差这么多,体感温度公式(热指数/风寒指数/WBGT)对公众是黑箱不透明,体感温度点击展开计算公式和各输入因子当前值(气温/湿度/风速/辐射),体感温度,low
实况,认知偏差,为啥海边晚上凉快内陆晚上还热,海陆热力性质差异(海水比热容大降温慢但热量向下传导致地表凉快),沿海vs内陆夜间温差增加下垫面热属性科普,气象原理,low
短临降水,认知偏差,看到雷达图上一片红色往我这移为啥没下到地面,高空雷达回波(0度层以上)含冰晶云未落地即蒸发(雨幡),雷达图增加垂直剖面展示和降水落地概率标注(雨幡/真雨区分),预警理解,low
实况,认知偏差,冷空气来之前为啥反而更热了,锋前增温效应(冷空气挤压前方暖空气压缩增温)公众不理解,冷空气预报增加锋前增温提醒和温度变化时间线,天气系统,low
空气质量,认知偏差,天空很蓝AQI优但日落特别红不正常是不是污染,清洁大气散射+高层卷云折射导致绚丽晚霞属正常光学现象,晚霞/蓝天等光学现象增加气象光学原理科普,气象原理,low
实况,认知偏差,手机上气压一直在降是要来台风吗别吓我,气压日变化(半日潮)和天气系统的气压变化公众分不清楚,气压趋势图增加日变化滤除+天气系统信号分离和变化归因,气象原理,high
实况,认知偏差,为啥高原上的云看起来特别低触手可及,高原海拔高空地距离缩小+强对流导致云底高度相对更低,高原云底高度特殊解释和高海拔气象科普专区,气象原理,low
短临降水,时空误差,雷达推送说30分钟后下雨我晒的被子10分钟就淋了,降雨到达时间基于雷达外推当降水系统加速移动时预报提前量偏长,雷达降雨推送增加系统移动加速度修正+到达时间不确定性区间,雷达,high
短临降水,时空误差,雷达图上我这儿红了但没下雨推送白发了,雷达回波在0度层以上(亮带)为冰晶/雪花未落地产生虚报,雷达推送在判断降水落地前增加垂直廓线检查和亮带识别过滤,雷达解读,high
短临降水,时效延迟,雷达图20分钟没更新看到雨团时已经在头顶了,雷达体扫周期6分钟但因传输处理延迟用户端更新滞后,雷达图标注数据时间和下次更新倒计时+超出3个体扫周期自动提醒数据异常,雷达解读,high
格点可视化,认知偏差,雷达图颜色好复杂绿黄红紫分不清含义,雷达反射率dBZ色标未做面向公众的简化导致误读,雷达图提供简易模式(小雨/中雨/大雨/暴雨四级+无降水)代替专业dBZ色标,雷达解读,high
短临降水,时空误差,雷达推送给我说明天有雨结果看雷达图晴空万里,雷达推送和日常降水预报混用导致用户混淆预报类型,雷达降雨推送明确标注「基于当前雷达30-120分钟短临预报」与日常预报区分,雷达解读,high
格点可视化,时效延迟,周边100公里雷达拼图有明显拼接线和色差,不同雷达站定标/波束遮挡/衰减订正差异导致拼图不连续,雷达拼图增加站点间一致性订正和拼接线融合过渡算法,雷达,high
格点可视化,认知偏差,为什么有时候雷达图转半天加载失败,单站雷达图数据体量大(>2MB)弱网环境超时,雷达图增加WebP压缩+渐进式加载先显示低分辨率逐级提升,雷达解读,medium
短临降水,时效延迟,看了雷达图以为雨会持续结果忽然消失了,对流云团生消演变快雷达外推假设线性增长实际非线,雷达降雨预测增加对流云团生消概率(增强/维持/减弱),雷达解读,high
天气预警,时效延迟,暴雨红色预警都发了但雷达上雨看着不大,预警基于面雨量和水文风险发布与单点雷达瞬时雨强不一致,雷达页面叠加预警区域和水文风险等级说明而非仅看瞬时雨强,预警理解,high
天气预警,时效延迟,凌晨3点发雷电预警谁看得到啊天亮了才看到,预警发布时间策略未考虑用户作息高频深夜预警失去效用,深夜预警(23:00-06:00)采用静默推送仅保留最高两级(橙/红)强制提醒,预警理解,medium
台风预报,时效延迟,台风预警说全市停课结果只有沿海两个镇受影响,预警落区以地级市为单位空间粒度过大导致扩大化响应,台风/暴雨预警空间粒度下沉至县级或乡镇级减少过度防御,预警理解,high
天气预警,时效延迟,高温红色预警持续一星期了天天弹窗麻木了,长期持续预警缺乏变化提示导致用户预警疲劳,持续预警增加变化说明(今日比昨日降温还是升温+预计何时结束),预警理解,high
天气预警,时效延迟,预警说得挺严重我请了假结果风平浪静,预警严格按阈值触发未引入漏报代价vs空报代价的灵活决策,预警系统增加命中率回顾和基于用户反馈的动态阈值优化,预警理解,medium
天气预警,时效延迟,暴雨预警有效期写了6小时过了还不解除,预警有效期基于预报而非实况导致预警过期但天气仍在持续时延期通知滞后,预警到期自动触发续发/解除决策流程并推送状态更新,预警理解,low
数据时效,认知偏差,黄色暴雨和橙色暴雨啥区别我分不清,蓝黄橙红四级预警含义和应对行动差异公众教育不足,预警分级增加一句话行动指引(蓝:关注/黄:准备/橙:防范/红:避险),预警理解,high
天气预警,时效延迟,收到隔壁市预警以为冲我这来了虚惊一场,用户地理空间感弱看到相邻区域预警产生焦虑,预警推送附简易地图标注预警区域与用户位置的相对关系,预警理解,high
